路径编号,5年总收益率,年化收益率,最大回撤,20万终值(万)
472,536.6%,44.8%,-11.6%,127.3
473,674.3%,50.6%,-12.0%,154.9
474,1274.3%,68.9%,-10.3%,274.9
475,411.3%,38.6%,-10.3%,102.3
476,678.8%,50.8%,-10.3%,155.8
477,1475.9%,73.6%,-10.3%,315.2
478,1397.7%,71.8%,-14.5%,299.5
479,965.9%,60.5%,-10.3%,213.2
480,574.7%,46.5%,-25.3%,134.9
481,1134.8%,65.3%,-10.3%,247.0
482,904.6%,58.6%,-32.9%,200.9
483,1506.1%,74.2%,-11.6%,321.2
484,341.2%,34.6%,-12.2%,88.2
485,392.9%,37.6%,-11.9%,98.6
486,682.8%,50.9%,-10.3%,156.6
487,381.9%,37.0%,-17.6%,96.4
488,606.8%,47.9%,-10.3%,141.4
489,1044.6%,62.8%,-10.3%,228.9
490,414.0%,38.7%,-13.6%,102.8
491,1058.5%,63.2%,-10.3%,231.7
492,947.8%,60.0%,-14.7%,209.6
493,646.2%,49.5%,-12.2%,149.2
494,253.8%,28.7%,-21.5%,70.8
495,1235.6%,67.9%,-12.3%,267.1
496,1515.0%,74.4%,-13.3%,323.0
497,296.2%,31.7%,-14.4%,79.2
498,1397.0%,71.8%,-12.7%,299.4
499,929.4%,59.4%,-10.4%,205.9
500,579.3%,46.7%,-10.4%,135.9
501,2549.3%,92.6%,-12.2%,529.9
502,1028.3%,62.4%,-19.5%,225.7
503,1339.4%,70.5%,-6.9%,287.9
504,730.4%,52.7%,-17.6%,166.1
505,1133.1%,65.3%,-10.3%,246.6
506,2903.9%,97.5%,-21.3%,600.8
507,1128.5%,65.1%,-6.9%,245.7
508,1208.6%,67.2%,-13.6%,261.7
509,530.6%,44.5%,-25.1%,126.1
510,488.8%,42.6%,-13.4%,117.8
511,650.4%,49.6%,-10.5%,150.1
512,472.5%,41.8%,-10.3%,114.5
513,844.8%,56.7%,-13.2%,189.0
514,257.7%,29.0%,-18.6%,71.5
515,368.4%,36.2%,-17.3%,93.7
516,1077.0%,63.7%,-10.3%,235.4
517,583.9%,46.9%,-32.7%,136.8
518,842.3%,56.6%,-18.3%,188.5
519,343.9%,34.7%,-19.2%,88.8
520,935.0%,59.6%,-10.3%,207.0
521,617.3%,48.3%,-15.7%,143.5
522,2001.9%,83.9%,-10.3%,420.4
523,1393.8%,71.7%,-6.9%,298.8
524,581.4%,46.8%,-17.2%,136.3
525,1007.7%,61.8%,-19.5%,221.5
526,1486.0%,73.8%,-13.2%,317.2
527,670.0%,50.4%,-21.2%,154.0
528,1583.5%,75.9%,-10.3%,336.7
529,624.1%,48.6%,-22.1%,144.8
530,651.4%,49.7%,-16.6%,150.3
531,661.4%,50.1%,-19.5%,152.3
532,240.0%,27.7%,-19.5%,68.0
533,709.8%,51.9%,-12.9%,162.0
534,893.8%,58.3%,-11.6%,198.8
535,318.9%,33.2%,-27.6%,83.8
536,436.4%,39.9%,-14.3%,107.3
537,844.8%,56.7%,-15.2%,189.0
538,924.0%,59.2%,-19.5%,204.8
539,569.4%,46.3%,-13.2%,133.9
540,1074.1%,63.7%,-10.3%,234.8
541,432.2%,39.7%,-26.8%,106.4
542,739.0%,53.0%,-10.3%,167.8
543,975.7%,60.8%,-10.3%,215.1
544,950.8%,60.1%,-13.3%,210.2
545,664.9%,50.2%,-14.2%,153.0
546,1366.0%,71.1%,-18.7%,293.2
547,1462.6%,73.3%,-7.0%,312.5
548,448.4%,40.5%,-10.3%,109.7
549,1650.8%,77.3%,-10.3%,350.2
550,842.7%,56.6%,-10.3%,188.5
551,365.1%,36.0%,-18.1%,93.0
552,404.2%,38.2%,-22.2%,100.8
553,597.7%,47.5%,-13.0%,139.5
554,681.3%,50.9%,-13.2%,156.3
555,456.2%,40.9%,-19.4%,111.2
556,694.6%,51.4%,-10.0%,158.9
557,771.8%,54.2%,-10.3%,174.4
558,824.0%,56.0%,-16.2%,184.8
559,500.5%,43.1%,-20.1%,120.1
560,816.3%,55.7%,-12.5%,183.3
561,754.9%,53.6%,-10.3%,171.0
562,280.1%,30.6%,-18.3%,76.0
563,2278.5%,88.5%,-10.3%,475.7
564,837.3%,56.5%,-10.3%,187.5
565,1722.1%,78.7%,-10.3%,364.4
566,543.4%,45.1%,-10.3%,128.7
567,549.1%,45.4%,-13.2%,129.8
568,1433.6%,72.6%,-10.3%,306.7
569,740.8%,53.1%,-13.1%,168.2
570,508.7%,43.5%,-10.3%,121.7
571,997.0%,61.5%,-10.3%,219.4
572,277.6%,30.4%,-18.7%,75.5
573,569.7%,46.3%,-12.6%,133.9
574,832.8%,56.3%,-22.4%,186.6
575,1323.2%,70.1%,-10.3%,284.6
576,589.7%,47.1%,-18.6%,137.9
577,745.8%,53.3%,-16.5%,169.2
578,1394.7%,71.8%,-3.3%,298.9
579,1315.7%,69.9%,-10.3%,283.1
580,911.6%,58.9%,-23.6%,202.3
581,1288.2%,69.2%,-13.5%,277.6
582,651.9%,49.7%,-10.4%,150.4
583,1803.3%,80.3%,-13.2%,380.7
584,506.2%,43.4%,-19.6%,121.2
585,1597.4%,76.2%,-12.2%,339.5
586,422.1%,39.2%,-19.5%,104.4
587,252.5%,28.7%,-17.4%,70.5
588,425.9%,39.4%,-12.5%,105.2
589,1113.6%,64.7%,-10.4%,242.7
590,400.4%,38.0%,-16.1%,100.1
591,868.3%,57.5%,-14.8%,193.7
592,448.2%,40.5%,-10.3%,109.6
593,1835.8%,80.9%,-12.4%,387.2
